regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,random,149.0,221.0
E1_c2,abstraction,random,184.0,272.0
E1_c2,abstraction,random,174.0,218.0
E1_c2,abstraction,random,159.0,253.0
E1_c2,abstraction,random,144.0,204.0
E1_c2,abstraction,random,136.0,199.0
E1_c2,abstraction,random,140.0,197.0
E1_c2,abstraction,random,145.0,242.0
E1_c2,abstraction,random,183.0,268.0
E1_c2,abstraction,random,178.0,250.0
E1_c2,abstraction,random,184.0,233.0
E1_c2,abstraction,random,125.0,233.0
E1_c2,abstraction,random,179.0,261.0
E1_c2,abstraction,random,189.0,233.0
E1_c2,abstraction,random,195.0,240.0
E1_c2,abstraction,random,155.0,230.0
E1_c2,abstraction,random,218.0,299.0
E1_c2,abstraction,random,179.0,268.0
